TÍTULO,AUTORAS,INSTITUCIÓN ,AÑO,ÁREA STEM,CATEGORÍA,LINK,,,,,,,,,,,,,,,,,,,
Participación de las mujeres en áreas ‘STEM’,NA,UPSA,2022,STEM,Nota de prensa,https://www.upsa.edu.bo/es/ultimas-noticias/1791-participacion-de-las-mujeres-en-areas-stem,,,,,,,,,,,,,,,,,,,
"¿Por qué hay tan pocas mujeres en ciencias, tecnología, ingeniería y matemáticas?",Julia Martínez Murillo,Fundación ICEES,2024,STEM,Nota de prensa,https://www.icees.org.bo/2024/03/por-que-hay-tan-pocas-mujeres-en-ciencias-tecnologia-ingenieria-y-matematicas/,,,,,,,,,,,,,,,,,,,
Mujeres en la política científica del Estado Plurinacional de Bolivia,Nelly Balda Cabello,UMSA,2024,STEM,Paper escrito por mujeres STEM,https://jcomsoc.ucb.edu.bo/a/article/download/1311/1229?inline=1,,,,,,,,,,,,,,,,,,,
El aporte de las mujeres ingenieras al desarrollo del país,COORDINACIÓN REGIONAL DE INVESTIGACIÓN SANTA CRUZ,UCB ,NA,Ingeniería,Nota de prensa,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/01_NOTA_DE_PRENSA_1.pdf,,,,,,,,,,,,,,,,,,,
Bolivia celebró el Día Internacional de la Mujer Matemática,COORDINACIÓN REGIONAL DE INVESTIGACIÓN SANTA CRUZ,UCB ,2024,Matemáticas,Nota de prensa,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/03_NOTA_DE_PRENSA_3.pdf,,,,,,,,,,,,,,,,,,,
Docentes de distintas universidades enriquecen la propuesta de política pública para incrementar la participación efectiva de las mujeres en las áreas STEM en Bolivia,COORDINACIÓN REGIONAL DE INVESTIGACIÓN SANTA CRUZ,UCB ,NA,STEM,Nota de prensa,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/05_NOTA_DE_PRENSA_5.pdf,,,,,,,,,,,,,,,,,,,
"Escuela, reproducciones colectivas y una nueva visión en camino",COORDINACIÓN REGIONAL DE INVESTIGACIÓN SANTA CRUZ,UCB ,NA,STEM,Nota de prensa,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/07_NOTA_DE_PRENSA_7.pdf,,,,,,,,,,,,,,,,,,,
"Presentación de resultados del proyecto: Construcción de política pública para una participación efectiva de las mujeres en los campos de la ciencia, tecnología, ingeniería y matemáticas en Bolivia",COORDINACIÓN REGIONAL DE INVESTIGACIÓN SANTA CRUZ,UCB ,NA,STEM,Nota de prensa,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/02_NOTA_DE_PRENSA_2.pdf,,,,,,,,,,,,,,,,,,,
Natalia Montellano investiga las propiedades nutricionales y biológicas de doce frutos chiquitanos,COORDINACIÓN REGIONAL DE INVESTIGACIÓN SANTA CRUZ,UCB ,NA,Ingeniería,Nota de prensa,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/04_NOTA_DE_PRENSA_4.pdf,,,,,,,,,,,,,,,,,,,
Ingenieras e investigadoras hacen su aporte al proyecto de política pública para incrementar la participación efectiva de las mujeres en las áreas STEM en Bolivia,COORDINACIÓN REGIONAL DE INVESTIGACIÓN SANTA CRUZ,UCB ,NA,STEM,Nota de prensa,https://portal.scz.ucb.edu.bo/public/Imagenes/General/2023/06_NOTA_DE_PRENSA_6.pdf,,,,,,,,,,,,,,,,,,,
